$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
    465       2 I<   15-18:33:20 [kworker/R-ext4-rsv-conversion]
    516       1 S<s  15-18:33:19 /usr/lib/systemd/systemd-journald
    603       1 Ss   15-18:33:19 /usr/lib/systemd/systemd-udevd
    630       2 S    15-18:33:19 [psimon]
    750       2 S    15-18:33:19 [irq/160-mei_me]
    800       2 I<   15-18:33:19 [kworker/R-cfg80211]
    804       2 S    15-18:33:19 [irq/161-iwlwifi]
    820       2 S    15-18:33:19 [nv_queue]
    821       2 S    15-18:33:19 [nv_queue]
    824       2 S    15-18:33:19 [nv_open_q]
    854       2 S    15-18:33:19 [nvidia-modeset/kthread_q]
    855       2 S    15-18:33:19 [nvidia-modeset/deferred_close_kthread_q]
    857       2 S    15-18:33:19 [irq/162-nvidia]
    858       2 S    15-18:33:19 [nvidia]
    859       2 S    15-18:33:19 [nv_queue]
   1207       2 S    15-18:33:17 [UVM global queue]
   1208       2 S    15-18:33:17 [UVM deferred release queue]
   1209       2 S    15-18:33:17 [UVM Tools Event Queue]
   1334       1 Ss   15-18:33:17 /usr/lib/systemd/systemd-oomd
   1335       1 Ss   15-18:33:17 /usr/lib/systemd/systemd-resolved
   1336       1 Ssl  15-18:33:17 /usr/lib/systemd/systemd-timesyncd
   1348       1 Ss   15-18:33:17 avahi-daemon: running [straughter-Z690-Steel-Legend.local]
   1349       1 Ss   15-18:33:17 /usr/libexec/bluetooth/bluetoothd
   1350       1 Ss   15-18:33:17 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1353       1 Ssl  15-18:33:17 /usr/libexec/gnome-remote-desktop-daemon --system
   1361       1 Ssl  15-18:33:17 /usr/lib/polkit-1/polkitd --no-debug
   1363       1 Ssl  15-18:33:17 /usr/libexec/power-profiles-daemon
   1367       1 Ss   15-18:33:17 /usr/sbin/smartd -n
   1368       1 Ss   15-18:33:17 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   1372       1 Ssl  15-18:33:17 /snap/snapd/current/usr/lib/snapd/snapd
   1374       1 Ssl  15-18:33:17 /usr/libexec/accounts-daemon
   1376       1 Ss   15-18:33:17 /usr/sbin/cron -f -P
   1378       1 Ssl  15-18:33:17 /usr/libexec/switcheroo-control
   1384       1 Ss   15-18:33:17 /usr/lib/systemd/systemd-logind
   1385       1 Ssl  15-18:33:17 /usr/sbin/thermald --systemd --dbus-enable --adaptive
   1386       1 Ssl  15-18:33:17 /usr/libexec/udisks2/udisksd
   1419    1348 S    15-18:33:17 avahi-daemon: chroot helper
   1422       1 Ssl  15-18:33:17 /usr/sbin/NetworkManager --no-daemon
   1424       1 Ss   15-18:33:17 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1482       1 Ssl  15-18:33:17 /usr/sbin/rsyslogd -n -iNONE
   1528       1 Ssl  15-18:33:17 /usr/sbin/ModemManager
   1694       1 Ssl  15-18:33:16 /usr/bin/node dist/src/server.js
   1695       1 Ssl  15-18:33:16 node /home/straughter/.npm-global/bin/codex app-server --listen unix:///home/straughter/.codex/app-server.sock
   1704       1 Ss   15-18:33:16 /usr/bin/epmd -systemd
   1708       1 Ssl  15-18:33:16 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
   1710       1 Ssl  15-18:33:16 /usr/bin/containerd
   1718       1 Ss   15-18:33:16 /usr/lib/systemd/systemd --user
   1724       1 Ss   15-18:33:16 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   1731    1718 S    15-18:33:16 (sd-pam)
   1737       1 Ssl  15-18:33:16 /usr/sbin/gdm3
   1758    1737 Sl   15-18:33:16 gdm-session-worker [pam/gdm-launch-environment]
   1777       1 Ss   15-18:33:16 /usr/lib/systemd/systemd --user
   1778    1777 S    15-18:33:16 (sd-pam)
   1783    1695 Sl   15-18:33:16 /home/straughter/.npm-global/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/codex/codex app-server --listen unix:///home/straughter/.codex/app-server.sock
   1871    1718 Ssl  15-18:33:16 /home/straughter/.hermes/hermes-agent/venv/bin/python -m hermes_cli.main gateway run --replace
